composition,dmax,tl,tg,species,log10(dmax^2),volume_runs,cooling_runs
Ti50Cu42.5Ni7.5,0.2,1226.0,670.0,"{'Ni7.5', 'Ti50', 'Cu42.5'}",-1.3979400086720375,no,no
Ca70Mg10Zn20,0.5,657.0,367.0,"{'Mg10', 'Zn20', 'Ca70'}",-0.6020599913279624,no,no
Ca55Mg15Zn30,0.5,696.0,387.0,"{'Zn30', 'Ca55', 'Mg15'}",-0.6020599913279624,no,no
Ca45Mg19Cu36,0.5,714.0,399.0,"{'Cu36', 'Ca45', 'Mg19'}",-0.6020599913279624,no,no
Ni60Nb20Zr20,0.5,1391.0,853.0,"{'Ni60', 'Nb20', 'Zr20'}",-0.6020599913279624,yes,no
Fe74.25B14.85Si9.9Nb,0.5,1455.0,815.0,"{'Nb1', 'Si9.9', 'B14.85', 'Fe74.25'}",-0.6020599913279624,no,no
Ca60Mg10Zn30,0.5,666.0,380.0,"{'Zn30', 'Ca60', 'Mg10'}",-0.6020599913279624,no,no
Ni72B19.2Si4.8Nb4,0.5,1446.0,770.0,"{'Nb4', 'B19.2', 'Si4.8', 'Ni72'}",-0.6020599913279624,no,no
Ca65Mg25Cu10,0.5,691.0,405.0,"{'Cu10', 'Ca65', 'Mg25'}",-0.6020599913279624,no,no
Ca40Mg30Cu30,0.5,694.0,395.0,"{'Cu30', 'Ca40', 'Mg30'}",-0.6020599913279624,no,no
Ca65Mg25Zn10,0.5,759.0,387.0,"{'Zn10', 'Ca65', 'Mg25'}",-0.6020599913279624,no,no
Ca65Mg5Cu30,0.5,757.0,403.0,"{'Cu30', 'Ca65', 'Mg5'}",-0.6020599913279624,no,no
Cu47Ti33Nb11Ni8Si,0.5,1265.0,710.0,"{'Cu47', 'Si1', 'Ti33', 'Ni8', 'Nb11'}",-0.6020599913279624,no,no
Ca55Mg18Zn27,0.5,671.0,389.0,"{'Mg18', 'Ca55', 'Zn27'}",-0.6020599913279624,no,no
Ca70Mg20Cu10,0.5,702.0,356.0,"{'Cu10', 'Mg20', 'Ca70'}",-0.6020599913279624,no,no
Ca70Mg15Zn15,0.5,688.0,371.0,"{'Zn15', 'Ca70', 'Mg15'}",-0.6020599913279624,no,no
Ca55Mg10Cu35,0.5,770.0,397.0,"{'Mg10', 'Ca55', 'Cu35'}",-0.6020599913279624,yes,yes
Ni42Ti20Zr25Al8Cu5,0.5,1366.0,748.0,"{'Zr25', 'Al8', 'Ti20', 'Cu5', 'Ni42'}",-0.6020599913279624,no,no
Fe74.25B14.85Si9.9Zr,0.75,1469.0,867.0,"{'Zr1', 'Si9.9', 'B14.85', 'Fe74.25'}",-0.24987747321659987,no,no
Fe67Ni5Y6B22,1.0,1469.0,866.0,"{'Y6', 'Fe67', 'Ni5', 'B22'}",0.0,no,no
Fe74Si3.5C12.7Tm0.6P9.1,1.0,1318.0,717.0,"{'Si3.5', 'Fe74', 'Tm0.6', 'C12.7', 'P9.1'}",0.0,no,no
Ca55Mg11Zn11Cu23,1.0,717.0,379.0,"{'Cu23', 'Mg11', 'Ca55', 'Zn11'}",0.0,no,no
Cu55Zr42.5Ga2.5,1.0,1199.0,709.0,"{'Zr42.5', 'Cu55', 'Ga2.5'}",0.0,no,no
Ca60Mg15Cu25,1.0,687.0,396.0,"{'Cu25', 'Ca60', 'Mg15'}",0.0,no,no
Ca55Mg25Zn20,1.0,751.0,375.0,"{'Zn20', 'Ca55', 'Mg25'}",0.0,no,no
Fe75.3Si3.5C12.9Tm.6P7.6,1.0,1284.0,687.0,"{'Fe75.3', 'Si3.5', 'Tm0.6', 'P7.6', 'C12.9'}",0.0,no,no
Ca45Mg30Cu25,1.0,717.0,401.0,"{'Cu25', 'Ca45', 'Mg30'}",0.0,no,no
Ti50Ni24Cu20BSi2Sn3,1.0,1310.0,726.0,"{'Sn3', 'Ni24', 'Cu20', 'Ti50', 'Si2', 'B1'}",0.0,no,no
Cu57.5Zr37.5Ga5,1.0,1241.0,745.0,"{'Cu57.5', 'Ga5', 'Zr37.5'}",0.0,no,no
Ca60Mg13Cu27,1.0,701.0,394.0,"{'Ca60', 'Mg13', 'Cu27'}",0.0,no,no
Ca70Mg10Cu20,1.0,713.0,385.0,"{'Mg10', 'Cu20', 'Ca70'}",0.0,no,no
Ti50Ni30Cu32Sn3,1.0,1283.0,686.0,"{'Ni30', 'Ti50', 'Cu32', 'Sn3'}",0.0,no,no
Ni61Zr28Nb7Al4,1.0,1348.0,848.0,"{'Ni61', 'Zr28', 'Al4', 'Nb7'}",0.0,no,no
Ca60Mg25Zn15,1.0,744.0,377.0,"{'Ca60', 'Zn15', 'Mg25'}",0.0,no,no
Cu47Ti33Zr3Nb8Ni8Si,1.0,1228.0,708.0,"{'Cu47', 'Si1', 'Ti33', 'Ni8', 'Nb8', 'Zr3'}",0.0,no,no
Ni59Zr20Ti16Sn5,1.0,1288.0,819.0,"{'Ti16', 'Ni59', 'Zr20', 'Sn5'}",0.0,yes,no
Cu47Ni13Zr30Ti10,1.0,1251.0,727.0,"{'Ni13', 'Cu47', 'Ti10', 'Zr30'}",0.0,no,no
Fe73.5B14.7Si9.8Nb2,1.0,1425.0,812.0,"{'B14.7', 'Si9.8', 'Fe73.5', 'Nb2'}",0.0,no,no
Ca66.4Al33.6,1.0,873.0,528.0,"{'Ca66.4', 'Al33.6'}",0.0,no,no
Mg65Cu25Pr10,1.0,784.0,413.0,"{'Mg65', 'Cu25', 'Pr10'}",0.0,no,no
Mg65Cu25Nd10,1.0,744.0,423.0,"{'Mg65', 'Cu25', 'Nd10'}",0.0,no,no
