recommended,potential,cutoff,valency
yes,H,250,1
no,H_AE,1000,1
no,H_h,700,1
no,H_s,200,1
yes,He,479,2
no,Li,140,1
yes,Li_sv,499,3
yes,Be,248,2
no,Be_sv,309,4
yes,B,319,3
no,B_h,700,3
no,B_s,269,3
no,C,400,4
no,C_h,700,4
no,C_s,274,4
yes,N,400,5
no,N_h,700,5
no,N_s,280,5
yes,O,400,6
no,O_h,700,6
no,O_s,283,6
yes,F,400,7
no,F_h,773,7
no,F_s,290,7
yes,Ne,344,8
no,Na,102,1
yes,Na_pv,260,7
no,Na_sv,646,9
yes,Mg,200,2
no,Mg_pv,404,8
no,Mg_sv,495,10
yes,Al,240,3
yes,Si,245,4
yes,P,255,5
no,P_h,390,5
yes,S,259,6
no,S_h,402,6
yes,Cl,262,7
no,Cl_h,409,7
yes,Ar,266,8
no,K_pv,117,7
yes,K_sv,259,9
no,Ca_pv,120,8
yes,Ca_sv,267,10
no,Sc,155,3
yes,Sc_sv,223,11
no,Ti,178,4
no,Ti_pv,222,10
yes,Ti_sv,275,12
no,V,193,5
no,V_pv,264,11
yes,V_sv,264,13
no,Cr,227,6
yes,Cr_pv,266,12
no,Cr_sv,395,14
no,Mn,270,7
yes,Mn_pv,270,13
no,Mn_sv,387,15
yes,Fe,268,8
no,Fe_pv,293,14
no,Fe_sv,391,16
no,Co,268,9
no,Co_pv,271,15
no,Co_sv,390,17
yes,Ni,270,10
no,Ni_pv,368,16
yes,Cu,295,11
no,Cu_pv,369,17
yes,Zn,277,12
no,Ga,135,3
yes,Ga_d,283,13
no,Ga_h,405,13
no,Ge,174,4
yes,Ge_d,310,14
no,Ge_h,410,14
yes,As,209,5
no,As_d,289,15
yes,Se,212,6
yes,Br,216,7
yes,Kr,185,8
no,Rb_pv,122,7
yes,Rb_sv,220,9
yes,Sr_sv,229,10
yes,Y_sv,203,11
yes,Zr_sv,230,12
no,Nb_pv,209,11
yes,Nb_sv,293,13
no,Mo,225,6
no,Mo_pv,225,12
yes,Mo_sv,243,14
no,Tc,229,7
yes,Tc_pv,264,13
no,Tc_sv,319,15
no,Ru,213,8
yes,Ru_pv,240,14
no,Ru_sv,319,16
no,Rh,229,9
yes,Rh_pv,247,15
yes,Pd,251,10
no,Pd_pv,251,16
yes,Ag,250,11
no,Ag_pv,298,17
yes,Cd,274,12
no,In,96,3
yes,In_d,239,13
no,Sn,103,4
yes,Sn_d,241,14
yes,Sb,172,5
yes,Te,175,6
yes,I,176,7
yes,Xe,153,8
yes,Cs_sv,220,9
yes,Ba_sv,187,10
yes,La,219,11
no,La_s,137,9
yes,Ce,273,12
no,Ce_h,300,12
no,Ce_3,177,11
no,Pr,273,13
yes,Pr_3,182,11
no,Nd,253,14
yes,Nd_3,183,11
no,Pm,259,15
yes,Pm_3,177,11
no,Sm,258,16
yes,Sm_3,177,11
no,Eu,250,17
yes,Eu_2,99,8
no,Eu_3,129,9
no,Gd,256,18
yes,Gd_3,154,9
no,Tb,265,19
yes,Tb_3,156,9
no,Dy,255,20
yes,Dy_3,156,9
no,Ho,257,21
yes,Ho_3,154,9
no,Er_2,120,8
yes,Er_3,155,9
no,Er,298,22
no,Tm,257,23
yes,Tm_3,149,9
no,Yb,253,24
yes,Yb_2,113,8
no,Lu,256,25
yes,Lu_3,155,9
no,Hf,220,4
yes,Hf_pv,220,10
no,Hf_sv,237,12
no,Ta,224,5
yes,Ta_pv,224,11
no,W,223,6
yes,W_sv,223,14
yes,Re,226,7
no,Re_pv,226,13
yes,Os,228,8
no,Os_pv,228,14
yes,Ir,211,9
yes,Pt,230,10
no,Pt_pv,295,16
yes,Au,230,11
yes,Hg,233,12
no,Tl,90,3
yes,Tl_d,237,13
no,Pb,98,4
yes,Pb_d,238,14
no,Bi,105,5
yes,Bi_d,243,15
no,Po,160,6
yes,Po_d,265,16
yes,At,161,7
yes,Rn,151,8
yes,Fr_sv,215,9
yes,Ra_sv,237,10
yes,Ac,172,11
yes,Th,247,12
no,Th_s,169,10
yes,Pa,252,13
no,Pa_s,193,11
yes,U,253,14
no,U_s,209,14
yes,Np,254,15
no,Np_s,208,15
yes,Pu,254,16
no,Pu_s,208,16
yes,Am,256,17
yes,Cm,258,18
