composition,temperature,cube_length,cube_length_error,pressure_error
Ca55Mg10Cu35,200,13.492644026388373,0.007365118552847605,14.441324026388372
Ca55Mg10Cu35,2000,14.143278344797357,0.10672062924586179,5.7533883218693145
Ni80P20,200,10.302309156313681,0.30230915631368305,85.3220996613216
Ni80P20,2000,10.363300291203837,0.06329086525337324,13.754499708796162
Zr48Al7Cu42Ag3,200,11.85755505736197,0.10756562022042004,20.66456494263803
Zr48Al7Cu42Ag3,2000,12.07413862321096,0.07413862321096154,3.2425413767890383
Zr50Al10Cu40,200,11.89420197213491,0.10579802786508807,35.04227802786509
Zr50Al10Cu40,2000,12.114005571539078,0.11400557153907975,12.261254428460923
Zr50Cu50,200,11.809887890682099,0.19011210931789968,73.7981078906821
Zr50Cu50,2000,11.995177065298392,0.004822934701605774,11.26404293470161
